Taxon	S.0	S.30	S.56	S.63	S.65	S.66	S.74	S.89	S.95	S.99	S.104	S.106	S.107	S.119	S.120	S.132	S.137	S.139	S.157	S.159	S.89.15	S.107.15	S.119.15	S.137.15	S.0.2015	S.30.2015	S.56.2015	S.63.2015	S.65.2015	S.66.2015	S.74.2015	S.95.2015	S.99.2015	S.104.2015	S.106.2015	S.120.2015	S.132.2015	S.139.2015	S.157.2015	S.159.2015			
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__JG30-KF-AS9	0	0.000152247	0	0	0	0	0	0	0	0	3.85E-05	0	8.66E-05	0	0	0	2.22E-05	0	0.000152617	0	0	0	0	0	0	0.000191906	0	0	0	1.89E-05	0.000141189	3.40E-05	0	0	4.86E-05	0.000124316	0	3.63E-05	0	6.83E-05			
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales	0.020977559	0.01439819	0.008790531	0.002028347	0.000997921	0.107275321	0.026042268	0.000459868	0.001816201	0.003172731	0.052147298	0.033711852	0.002380849	0.010742486	0.000683096	0.023895254	0.002928842	0.094749167	0.02612301	0.078771449	0.003863972	0.117085956	0.009422654	0.008966809	0.00127186	0.000647684	0.007373139	0.004368576	4.99E-05	0.01338602	0.00854194	0.020214718	0.01063443	0.055062047	0.034915386	0.000808056	0.014815237	0.062975854	0.185999055	0.109289617			
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__TK10	0.000182868	6.52E-05	5.78E-05	0.000250413	0	3.57E-05	0	0	0	8.42E-05	3.85E-05	0	0.000129865	0	5.25E-05	5.04E-05	0.000665646	0.000180131	0.000305235	0	0.000101151	0.000124806	3.33E-05	0.000200749	7.95E-05	0.000215895	0	0.000385463	0	0.000151254	4.24E-05	0.000135897	0	6.78E-05	4.86E-05	0.000124316	0.000113963	0.000507577	0.000264525	3.42E-05			
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales	0.024452049	0.015050676	0.005474804	0.03686082	0.004968815	0.088587732	0.113783347	0.005553787	0.016345805	0.013449012	0.069086989	0.131162308	0.01441496	0.022158291	0.007934423	0.050686139	0.027801815	0.056020895	0.045251056	0.157512091	0.033359633	0.019434093	0.01112073	0.026833512	0.001695813	0.037997457	0.012143993	0.036049927	0.001471248	0.025959048	0.016632075	0.050349935	0.019087439	0.092086526	0.134506905	0.001429637	0.002193795	0.036690595	0.123042041	0.045765027			
k__Bacteria;p__Chloroflexi;c__P2-11E;o__	0.001593563	0.000500239	5.78E-05	0.000776281	8.32E-05	0.00010699	0.001039381	0.000778238	0	0.001207323	0.000250245	0	0.003982512	0.000765134	0.000788188	5.04E-05	0.002551643	9.01E-05	0.001449865	0	0.001132892	0.002299998	0.002397283	0.001271413	0.000238474	0.002158946	0	0.001138032	0.000523665	0.000397043	8.47E-05	0.000101923	0.001249773	6.78E-05	0	0.000124316	0	0.000942644	0.000170052	3.42E-05			
k__Bacteria;p__Chloroflexi;c__S085;o__	0.00013062	0.000739484	0.000443382	0	0	7.13E-05	0.000259845	0.000106123	0.00036324	0.000196541	5.77E-05	0.000109188	0.001212069	0	0.001156009	0.000100718	0.000887528	0.000450329	0.001068322	0	0.002124173	0.001533332	0.000632616	0.000669165	0.001112878	0.000239883	0.000433714	0.001964023	2.49E-05	0.001455824	0.000494162	0.000985255	0.000749864	0.000203431	0.000291772	0.001056688	0.000854725	0.000290044	0.000170052	6.83E-05			
k__Bacteria;p__Chloroflexi;c__SAR202;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.67E-05	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Chloroflexi;c__SHA-26;o__	0.000182868	0.000173996	3.86E-05	0.000225372	2.08E-05	0.000142653	0.000115487	0.000247621	0	0	0.000115498	8.19E-05	0.000129865	9.18E-05	7.88E-05	0.000125897	0.000177506	0	0.000381543	0.000123225	0.000121381	0.000124806	9.99E-05	0.000133833	0	0.000167918	0	0.000110132	7.48E-05	5.67E-05	0	0	0.000136339	6.78E-05	9.73E-05	0	0	7.25E-05	9.45E-05	0.000102459			
k__Bacteria;p__Chloroflexi;c__TK10;Other	0.000104496	6.52E-05	3.86E-05	0.000150248	0	7.13E-05	0	0	0	0.000112309	1.92E-05	0	0.000216441	0.000183632	2.63E-05	0	0.000133129	0	0.000152617	0.000985798	6.07E-05	7.13E-05	3.33E-05	0	5.30E-05	4.80E-05	0	7.34E-05	0	1.89E-05	5.65E-05	3.40E-05	6.82E-05	0	0	0	0	0.000145022	7.56E-05	6.83E-05			
k__Bacteria;p__Chloroflexi;c__TK10;o__	0.000104496	4.35E-05	0.000481937	0	0	0	0	0	0	8.42E-05	0	0	0.000432882	0	0.000131365	0.000100718	0.000110941	0.000180131	0	0	0.000202302	0.000285271	0.000599321	0	0.000238474	0	0.000144571	5.51E-05	0	0.000302509	0.000240021	6.79E-05	9.09E-05	0	0	0.000186474	0.000370381	0	0	0			
k__Bacteria;p__Chloroflexi;c__TK10;o__AKYG885	0.000862091	0	0.001850638	0	6.24E-05	0.00021398	0.000375332	3.54E-05	0.002179441	0.001123091	0.000115498	5.46E-05	0.000389594	0	0.000683096	0.000553947	0.000155317	9.01E-05	2.54E-05	0	0.001072202	0.000445736	0.001931145	0.000334582	0.001510334	4.80E-05	0.000144571	5.51E-05	0	0.00219319	0.001990766	0.000917307	0.001658789	0.000339052	0.000194515	0.00198906	0.001538505	0.000217533	9.45E-05	0.000307377			
k__Bacteria;p__Chloroflexi;c__TK10;o__B07_WMSP1	0.003187126	0.002283701	0.001349424	0.013622477	0.00047817	0.004671897	0.006698233	0.001521101	0.002542681	0.003228886	0.006621879	0.0120107	0.003636206	0.006059864	0.001287373	0.003071887	0.004282323	0.007115194	0.006308185	0.02519947	0.009467743	0.002603099	0.004894453	0.004684154	0.004478007	0.002998537	0.002457713	0.00613069	2.49E-05	0.004688888	0.004899262	0.006353197	0.005794401	0.013019597	0.006662128	0.003294381	0.003133992	0.014756	0.00729334	0.004439891			
k__Bacteria;p__Chloroflexi;c__TK17;Other	0.00013062	0.000173996	0	0.00475785	0.00031185	0.00010699	5.77E-05	0.006155152	0	0.000280773	0.000192496	0	8.66E-05	3.06E-05	7.88E-05	0.000151076	0.000155317	9.01E-05	0.000152617	0.005052217	8.09E-05	5.35E-05	3.33E-05	0.000200749	0	0.000215895	0	0.000550661	0.001122139	3.78E-05	1.41E-05	0	0.000181785	6.78E-05	0	0	0	3.63E-05	3.78E-05	0.000239071			
k__Bacteria;p__Chloroflexi;c__TK17;o__	0.000235116	6.52E-05	1.93E-05	0.001151901	0	3.57E-05	0.000144358	0.000389119	0	2.81E-05	0.000134748	0.000245673	8.66E-05	0.000275448	0.000105092	5.04E-05	0.00024407	9.01E-05	0.00020349	0.00194079	0.000242763	0.000124806	3.33E-05	0.000334582	5.30E-05	0.00028786	0	0.000256975	2.49E-05	0.000226882	4.24E-05	0.000203846	0.000113616	0.000135621	0.000194515	0.000310791	0.000199436	0.0003263	0.000377893	0.000136612			
k__Bacteria;p__Chloroflexi;c__TK17;o__mle1-48	0	0.000152247	1.93E-05	0	0	0	0	0.001804096	0	0	0	0	0.000303017	0	0.000315275	0	0.000399388	0	0.000178054	0	0.000445065	0.000303101	6.66E-05	0.000334582	0.000105988	0.000215895	0	0.000293686	0.000274301	0.000132348	0.00012707	0.000101923	0.000204508	0	0	6.22E-05	0.000113963	0.000145022	0	3.42E-05			
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;Other	0	0	0	2.50E-05	0	0	0	0	0	0.000112309	0	0	4.33E-05	6.12E-05	0	2.52E-05	2.22E-05	0	0	0	8.09E-05	0	0	0	2.65E-05	4.80E-05	0	0	2.49E-05	0	2.82E-05	3.40E-05	4.54E-05	0	0	0	0	0	0	0			
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__	0.000313488	0.000195746	0.000404827	0.001101818	0.00016632	3.57E-05	0.00017323	0.000141498	0	0.000533468	0.000461992	0.000136485	0.000735899	0.000275448	0.000157638	0.000327332	6.66E-05	0	5.09E-05	0	2.02E-05	3.57E-05	0.000199774	0	2.65E-05	4.80E-05	0	0.000220264	0.000299237	1.89E-05	1.41E-05	0	0.000249955	6.78E-05	0.000243143	0	8.55E-05	0	0	0			
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__AKYG1722	7.84E-05	4.35E-05	0.000424105	0.000150248	0	0	0.000115487	0.000742863	0.00036324	0.000336927	3.85E-05	0	0.000173153	0	0.000210183	7.55E-05	0.000133129	0	0.000152617	0	0.000182072	3.57E-05	3.33E-05	6.69E-05	0.000132485	0.000695661	0.000433714	0.000183554	0	3.78E-05	0.000112951	6.79E-05	0.000318124	0	0	0.000186474	0.000113963	7.25E-05	5.67E-05	0			
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Ellin6537	0.001358447	0.003218931	0.000539769	0.010918015	0.00049896	0.001997147	0.000837279	0.003502069	0.00108972	0.001460018	0.002271459	0.000955397	0.001947968	0.002785089	0.000236456	0.001460405	0.001264727	0.004323156	0.001577046	0.012753766	0.001719569	0.000784496	0.000732503	0.00133833	0.000264971	0.001103462	0.000433714	0.00253304	0.00159593	0.00041595	0.000621232	0.000135897	0.001749682	0.001152777	0.000972573	6.22E-05	0.000256418	0.001885288	0.000906944	0.002015027			
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45	0	8.70E-05	0.00283379	7.51E-05	0.001247401	0	0	0.000282996	0.00108972	0.000168464	3.85E-05	0	0.000216441	9.18E-05	2.63E-05	0.000226615	0.000133129	0	7.63E-05	0	0.000141612	3.57E-05	0.000399547	0	0.000291468	0.000167918	0	5.51E-05	0.000299237	0.000132348	0.00012707	0.000135897	6.82E-05	6.78E-05	0.000145886	0.000497265	0.000227927	0.000108767	1.89E-05	0			
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Sphaerobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Cyanobacteria;Other;Other	0.004388829	0.062116664	1.93E-05	0.002153553	4.16E-05	0.00235378	0.001934404	3.54E-05	0	0.001066936	0.000500491	0	0.002207697	0.001591479	0.004965582	0.000377691	0.004859216	0.001801315	0.006460803	0.000616124	2.02E-05	0.00032093	0.000799094	0.000869914	2.65E-05	0	0	0.001523495	2.49E-05	0	0.000112951	0	0.000227231	6.78E-05	0	0	0	7.25E-05	0	0			
k__Bacteria;p__Cyanobacteria;c__;o__	0.001776431	0.001130976	0.001079539	0.001252066	0.00010395	0	0.000230974	3.54E-05	0.00036324	0.028723046	0.00111648	0	0.0040258	0.000581502	0.000315275	0.004985522	0.001153786	9.01E-05	0.000356107	0	4.05E-05	0.000142636	0.000898981	0.001204497	0	4.80E-05	0	0.002606461	2.49E-05	5.67E-05	5.65E-05	0	0.000295401	0.000203431	0	0.000124316	0	0	1.89E-05	0			
k__Bacteria;p__Cyanobacteria;c__4C0d-2;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22E-05	0	0	0	2.02E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12	0.000339612	0.001087477	5.78E-05	7.51E-05	0.00010395	0.000784593	0.000375332	3.54E-05	0.00072648	0.000112309	0.000115498	5.46E-05	0.002554002	0.000826345	0.001103463	0.000251794	0.005147662	0.001080789	0.002212952	0	0.001699338	0.002959688	0.001098755	0.004817987	0.001165872	0.003046513	0.001734856	0.002239354	9.97E-05	0.001569265	0.000931848	0.001630767	0.001613343	0.000678104	0.000340401	0.000932372	0.000398872	0.003951853	0.001587152	0.003790984			
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__SM1D11	5.22E-05	0.000413241	0.00023133	0	4.16E-05	0.000392297	0.000202102	0	0.00036324	0	0.000307994	0.000382159	4.33E-05	0	0.000157638	0.000100718	0.000399388	0	0.001170067	0	2.02E-05	0.000231783	0.000266365	0.000401499	7.95E-05	0.000119941	0	1.84E-05	0	0.000207975	0.00012707	0	6.82E-05	0	0	0.000186474	0.000256418	7.25E-05	0.000170052	0.000239071			
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	0	0	0	0	0	0	0	3.54E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Cyanobacteria;c__Chloroplast;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.49E-05	0	0	0	0	0	0	0	0	3.63E-05	3.78E-05	3.42E-05			
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta	0	0	0.000115665	0	2.08E-05	3.57E-05	2.89E-05	0	0	0.000673854	1.92E-05	0	0	0	5.25E-05	0	0.000110941	0.000270197	0	0	0	0	0	6.69E-05	0	0	0	0	0.000174555	0	0	0	0.000318124	0	0	0	0	0	0	6.83E-05			
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta	0	4.35E-05	0	0	0	0	0	0	0	0	0	2.73E-05	8.66E-05	3.06E-05	5.25E-05	0	0	0	0	0.000123225	0	0	6.66E-05	6.69E-05	0	0	0	0	0	0	4.24E-05	0	0	0	0	0	0	0.000145022	9.45E-05	0.000102459			
k__Bacteria;p__Cyanobacteria;c__Gloeobacterophycideae;o__Gloeobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000267666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Cyanobacteria;c__ML635J-21;o__	0.000914339	0.000500239	0.000443382	0.003330495	0.002972973	0.00117689	0.000866151	0.002405462	0.001816201	0.001460018	0.001289726	0.000300268	0.001601662	0.001713901	0.001024644	0.001812917	0.001065034	0.000270197	0.001246375	9.24E-05	0.000748518	0.001087596	0.001065459	0.001672912	0.00082141	0.002566747	0.000289143	0.001817181	0.003117052	0.001077688	0.000734183	0.000339743	0.001340665	0.001017156	0.000389029	0.000497265	0.00068378	0.000435066	0.000302315	3.42E-05			
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__	0.000156744	0	0	0	0	0	2.89E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales	0.007680451	0	0.014361723	0.00152752	0.00010395	0.000998573	0.000404204	0	0	0.000336927	1.92E-05	2.73E-05	0.000389594	0.001928139	5.25E-05	0.002442402	0.001442233	0.024407818	0.000661342	0.008440898	2.02E-05	0.000463566	0.001098755	0.024156852	0.000158983	0	0	0.000477239	0	0.000302509	0.000197665	0	0.001567897	0	0	6.22E-05	0.000170945	0.000217533	0	0.000102459			
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;Other	5.22E-05	0.000587237	3.86E-05	2.50E-05	0	0.000249643	2.89E-05	0	0	0	5.77E-05	0	0.000129865	0	5.25E-05	0	4.44E-05	0.000720526	0.000101745	9.24E-05	0	3.57E-05	3.33E-05	0	0	0	0	5.51E-05	2.49E-05	0	0	0	0	0	0	0	0	0	1.89E-05	3.42E-05			
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales	0.000208992	0.002892688	0.001118094	0	0	0.005920114	5.77E-05	0	0	0	1.92E-05	0	4.33E-05	3.06E-05	0.000289002	0	8.88E-05	0.001080789	0.00040698	0	0	0	6.66E-05	6.69E-05	0	0	0	5.51E-05	0	3.78E-05	1.41E-05	0	0.000181785	0	0	0	0	7.25E-05	1.89E-05	0			
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales	0.055591839	0.102222802	0.009754405	0.086843291	0.002515593	0.030991441	0.026157755	7.07E-05	0.00036324	0.109725966	0.00600589	5.46E-05	0.024457816	0.067790904	0.058352162	0.002744555	0.044576094	0.005944339	0.023655695	6.16E-05	4.05E-05	0.001889921	0.004361723	0.006691649	0.001589825	0.007484348	0.000433714	0.098237885	0.016881951	7.56E-05	0.002880258	0.000509615	0.005294492	0.001356208	0	0.00198906	0.000142454	0.000253789	1.89E-05	3.42E-05			
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales	0.004179838	0.048088216	0.001561476	0.00132719	0.00010395	3.57E-05	0.006842592	0	0.00036324	0.006570081	0.000904733	2.73E-05	0.013202892	0.00615168	0.01240082	0.001107894	0.039761255	0.000540394	0.017551	0	8.09E-05	0.000802325	0.002896717	0.00361349	5.30E-05	0.000959532	0	0.001248164	0.000398983	0.000189068	0.000296497	0	0.001363388	0	0	0.000248633	0.000113963	0	0	3.42E-05			
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales	0	0.002522946	0	0.00075124	2.08E-05	0	0.000202102	0	0	0.000449236	3.85E-05	0	0.003333189	0.001377242	5.25E-05	0.000100718	0.000732211	0	0.00289973	3.08E-05	0	0.000124806	0.000332956	0.000267666	0	9.60E-05	0	0.000495595	0	0	0	0	2.27E-05	0	0	0	0	0	0	0			
k__Bacteria;p__Elusimicrobia;Other;Other	2.61E-05	0	0	0	0	0	0	0	0.00036324	0	0	0	4.33E-05	0	7.88E-05	0	0	0	0	0	0	8.91E-05	3.33E-05	0	0	0	0	7.34E-05	0	0	0	3.40E-05	0	0	0	0	0	0	0	0			
k__Bacteria;p__Elusimicrobia;c__;o__	0	4.35E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000289002	0	4.44E-05	0	2.54E-05	0	4.05E-05	0	0	0	0	0	0	9.18E-05	0	1.89E-05	0	0	0	0	0	6.22E-05	0	3.63E-05	1.89E-05	0			
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;Other	2.61E-05	2.17E-05	0	0	0.000935551	0.00010699	0	0.000106123	0	0.000112309	0	0	0	0	0	5.04E-05	0	0	5.09E-05	6.16E-05	0	1.78E-05	0	6.69E-05	0	0	0.000144571	1.84E-05	7.48E-05	0	1.41E-05	0	6.82E-05	0	4.86E-05	0	5.70E-05	7.25E-05	7.56E-05	0.000204918			
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales	0	0.000152247	0	0	0	0	5.77E-05	0.000424493	0	0	0	5.46E-05	0.00047617	0.000122421	0.001129736	0	0.000843152	9.01E-05	0.000228926	0	0.000445065	0.000303101	3.33E-05	0.001405246	7.95E-05	0.000335836	0	0.000403818	0.000523665	0.000397043	0.000169427	0.000203846	6.82E-05	0	0.000145886	6.22E-05	2.85E-05	0.000580088	0.000207841	0.000751366			
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__FAC88	0.005930144	0.006655357	0.001002429	0.003029999	0.002640333	0.003459344	0.005254648	0.011425944	0.00072648	0.005783917	0.004446669	0.001828902	0.005843903	0.001805717	0.003625663	0.00337404	0.003971688	0.004953616	0.004782011	0.001509504	0.003358217	0.004403873	0.003163082	0.004148822	0.002040276	0.008251973	0.002746856	0.003359031	0.001122139	0.004254032	0.00245669	0.002344228	0.003681149	0.004339866	0.002382805	0.002921432	0.002079831	0.005945907	0.003155409	0.003893443			
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__IIb	0.001462943	0.000739484	0.000597602	0.000125207	0.00014553	0.00053495	0.000808407	0.00159185	0	0.002105795	0.000134748	0.000327565	0.00047617	0	0.00215438	0.001334508	0.000665646	0.000360263	0.000254362	0	0.000869899	0.002139533	0.001631484	0.001405246	0.001059883	0.000551731	0.000433714	3.67E-05	2.49E-05	0.002098656	0.001157751	0.000441666	0.000636248	0.001220587	0.000534915	0.001367479	0.000769253	0.000833877	0.000547945	0.00034153			
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__MVP-88	2.61E-05	0	0	0	0	0	0	0	0.00036324	0	0	0	0	0	0.000157638	0	0	0	0	0	2.02E-05	5.35E-05	9.99E-05	6.69E-05	0.000105988	0	0	0	0	7.56E-05	4.24E-05	6.79E-05	0.000136339	0	0	6.22E-05	5.70E-05	3.63E-05	0	0			
k__Bacteria;p__Elusimicrobia;c__Endomicrobia;o__	0	0	0	0	0	0	2.89E-05	0	0	0	0	0	4.33E-05	0	0.000236456	0	0	0	0	0	0	1.78E-05	0	0	0.000105988	4.80E-05	0	0	0	3.78E-05	0	0	0.000159062	0	0	0.000124316	0	3.63E-05	3.78E-05	0			
k__Bacteria;p__FBP;c__;o__	0.007001228	0.003023185	0.01170143	0.006786197	0.002016632	0.006562054	0.002598452	0.004952421	0.00145296	0.004604672	0.003888429	0.002183764	0.004328817	0.004621412	0.002653565	0.005539469	0.002396326	0.005133748	0.001780536	0.004466899	0.002002792	0.001675968	0.005094227	0.003680407	0.000794913	0.001631204	0.001879427	0.009269457	0.001994913	0.001210036	0.001849577	0.000305769	0.001636066	0.003254899	0.001167088	0.001056688	0.001566996	0.002574143	0.00198394	0.001434426			
k__Bacteria;p__FCPU426;c__;o__	0	2.17E-05	0	0	4.16E-05	0	0	0	0	0	0	2.73E-05	8.66E-05	0.000183632	0.000105092	0	0.001442233	0.000270197	0.000763087	0	0.000182072	7.13E-05	0	0.000401499	0	0.00211097	0.000144571	0.000385463	2.49E-05	3.78E-05	1.41E-05	3.40E-05	2.27E-05	0	4.86E-05	6.22E-05	0	0.000580088	0.000132263	0.000409836			
k__Bacteria;p__Fibrobacteres;c__;o__	0	0	0	0	0	0	0	0.000141498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__258ds10	0.000626976	8.70E-05	0.00046266	2.50E-05	8.32E-05	3.57E-05	5.77E-05	0.000106123	0.00108972	0.000224618	1.92E-05	0.000136485	0.000779187	0	0.000157638	0.004179781	0.001175975	9.01E-05	0	0	0.000182072	0.000249612	0.001764667	0.001204497	0.000423953	0.00014393	0.000289143	0	0	0.001096595	0.000324735	0.000373717	0.000931649	0.000135621	4.86E-05	0.000621581	0.000227927	0.000108767	0	0			
k__Bacteria;p__Firmicutes;Other;Other	0.001123331	0.001544217	3.86E-05	0.000400661	4.16E-05	0.00010699	0.00017323	3.54E-05	0	0.001151168	0.000250245	2.73E-05	0.001038916	0.00079574	0.000210183	0.000176256	0.000976281	9.01E-05	0.00061047	0	0.000161842	0.000213953	0.00053273	0.000267666	7.95E-05	4.80E-05	0	9.18E-05	0	0.000170161	9.88E-05	6.79E-05	0.000840756	6.78E-05	0	0	0	0.000108767	0.000151157	0.000170765			
k__Bacteria;p__Firmicutes;c__Bacilli;Other	0	0	0	0	0	0	0	0	0	2.81E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27E-05	0.000203431	0	0	0	0	0	0			
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.00078372	2.17E-05	0.003219339	0.000225372	0.00016632	7.13E-05	0.000202102	0.000495242	0.00072648	2.81E-05	0.000230996	0.001774308	0.000389594	0.000642713	0.000945825	0.000679844	6.66E-05	0.000180131	0.000127181	0.000215643	0.000101151	0.000231783	0.000665912	6.69E-05	0	0.000119941	0	3.67E-05	0.000374046	0.000207975	4.24E-05	0.000441666	0.000113616	0.000678104	0.002042404	0.000186474	0.000256418	7.25E-05	3.78E-05	0			
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0	0	0	2.50E-05	0	0	0	0	0	0	0	0	0	0	0	0	4.44E-05	0	0	3.08E-05	0	0	0	0	0	2.40E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63E-05	0	0	0	0	0	0	0	0	0	0	0	0	1.84E-05	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Firmicutes;c__Clostridia;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.79E-05	0	0	0	0	0	0	0	0			
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.0006531	0.003197181	3.86E-05	0.003205289	0.002806653	0.000142653	0.000606306	0.007357883	0	0.001768868	0.001828717	0.000191079	0.002034544	0.003733856	0.000289002	2.52E-05	0.00284009	0.000810592	0.001195503	0.000924186	0.000242763	0.001889921	0.00053273	0.001204497	0.000238474	0.000647684	0.000144571	0.001633627	0.005236647	0	0.000225903	0.000135897	0.001204326	0.000474673	4.86E-05	0.000124316	0	0.000217533	0.000472367	0.000170765			
k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__GAL15;c__;o__	0	0	0	0	0	0	5.77E-05	0	0	0	0	0.000136485	0	0	0	0	0	0	0	0	2.02E-05	0	0	0	0	0	0	0	0	1.89E-05	1.41E-05	3.40E-05	0	0	0	0	5.70E-05	0	7.56E-05	0			
k__Bacteria;p__GN02;c__;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63E-05	5.04E-05	0	0	0	0	2.02E-05	0	0	0	0	7.20E-05	0	0	4.99E-05	1.89E-05	1.41E-05	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__GN02;c__3BR-5F;o__	2.61E-05	0	0	0	0	0	0	0	0	0	0	0	4.33E-05	0	0	5.04E-05	0	0	0	0	2.02E-05	8.91E-05	3.33E-05	0	0.000238474	0.000239883	0	0	0	7.56E-05	1.41E-05	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__GN02;c__BB34;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__GN02;c__BD1-5;o__	0	0	0	0	4.16E-05	0	0	3.54E-05	0	0	3.85E-05	0	4.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.49E-05	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__GN02;c__GKS2-174;o__	0.000835968	0.000152247	9.64E-05	0	0.000893971	0.000463623	0.000866151	0.000778238	0.00036324	0.000280773	5.77E-05	0	0.00095234	6.12E-05	0.000893279	0.000579126	0.000199694	0.000180131	0.000813959	0	0.000323684	0.001872092	0.000566025	0.000802998	0.000768415	0.001031497	0.000289143	0.000624082	0.00034911	0.000794086	0.000818897	0.000645512	0.000272678	0.000339052	0	0.000186474	0.000398872	0.000398811	1.89E-05	0.000136612			
k__Bacteria;p__GN02;c__GN07;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.78E-05	0	0	0	0	0	6.22E-05	0	0	0	0			
k__Bacteria;p__GN02;c__GN10;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.22E-05	0	0	0	0			
